iteration,target,r2,mse,rmse
1,SMORE_av,0.9023310548938384,0.37554538494142065,0.6128175788449779
1,SPRIS_av,0.8556083002782653,0.33481066025810113,0.5786282573968378
1,SMYTH_av,0.8905648612148321,0.47095538434579604,0.6862618919521877
1,SPAIS_av,0.8717512527143361,0.4832121467236157,0.6951346248919095
1,SATIS_av,0.8727834794525251,0.321106498331792,0.5666625965526505
2,SMORE_av,0.8995935992521603,0.39459041655389304,0.6281643228916245
2,SPRIS_av,0.864667421047465,0.3344487389834636,0.5783154320813717
2,SMYTH_av,0.908552191771465,0.4992979203204943,0.706610161489696
2,SPAIS_av,0.8887404120412078,0.4847209382071382,0.69621903033969
2,SATIS_av,0.873478707650909,0.3478101885275512,0.5897543459166292
3,SMORE_av,0.9058720854772355,0.350428143622741,0.5919697151229453
3,SPRIS_av,0.8505016634016853,0.355639931841102,0.5963555414692665
3,SMYTH_av,0.8960577287407174,0.3703826229969169,0.6085906859268525
3,SPAIS_av,0.8703545866315874,0.4003752870781108,0.632752152962051
3,SATIS_av,0.8463615196629313,0.39239881038462404,0.6264174409965163
4,SMORE_av,0.9064388768980383,0.34940862990634886,0.5911079680619682
4,SPRIS_av,0.8649728920973173,0.33097327918692615,0.5753027717532101
4,SMYTH_av,0.9177350655275957,0.35760764450996907,0.5980030472413741
4,SPAIS_av,0.8833715919539782,0.44967320999068666,0.6705767741211193
4,SATIS_av,0.818640926476767,0.33484087222457004,0.5786543633504979
5,SMORE_av,0.899460770562476,0.31299376914958077,0.5594584606113137
5,SPRIS_av,0.8867864696062612,0.21192510639299278,0.4603532408846415
5,SMYTH_av,0.902199944109341,0.3759886636695521,0.6131791448423145
5,SPAIS_av,0.8746577978576695,0.3958896316235243,0.6291976093593524
5,SATIS_av,0.8368016137980793,0.31258360178541206,0.5590917650845987
6,SMORE_av,0.8887456416782469,0.41289454211453025,0.6425687061431876
6,SPRIS_av,0.8544809369324209,0.3448665258296771,0.5872533744727885
6,SMYTH_av,0.8586799250270067,0.5002794091055393,0.7073043256657909
6,SPAIS_av,0.8285660320815498,0.5873219800980378,0.7663693496598346
6,SATIS_av,0.8206524495737428,0.3932090932046008,0.627063866926329
7,SMORE_av,0.9031565264184568,0.38835390723727425,0.6231804772594166
7,SPRIS_av,0.8461407376791956,0.35029689106726597,0.5918588438701123
7,SMYTH_av,0.8670649504404555,0.5559772118850954,0.7456387945145393
7,SPAIS_av,0.8619770430356619,0.45392530009908294,0.6737397866380483
7,SATIS_av,0.8391585559850396,0.424874564231901,0.65182402857819
8,SMORE_av,0.9379558533771342,0.27510233979179693,0.5245019921714282
8,SPRIS_av,0.8400789705193176,0.3658718722134091,0.6048734348716343
8,SMYTH_av,0.8834791874755638,0.5067278327744077,0.7118481809869347
8,SPAIS_av,0.8839614428992125,0.44669243116417184,0.6683505301592659
8,SATIS_av,0.8689505221916778,0.35588996737597023,0.5965651409326312
9,SMORE_av,0.8839337678556777,0.392005135958766,0.6261031352411246
9,SPRIS_av,0.8476010726047685,0.3774129333451077,0.6143394284474241
9,SMYTH_av,0.862060034037657,0.5547393671141587,0.7448082754066033
9,SPAIS_av,0.8831952285853994,0.4315668085405502,0.6569374464441422
9,SATIS_av,0.8410050997548751,0.2846174919941052,0.5334955407443489
10,SMORE_av,0.8924283081244699,0.3752028420060829,0.6125380331098493
10,SPRIS_av,0.8434301235754639,0.37692748028129075,0.613944199647892
10,SMYTH_av,0.8837412430456714,0.4148476208863316,0.6440866563486094
10,SPAIS_av,0.887742001857376,0.30175573556282576,0.5493229792779706
10,SATIS_av,0.8566418431897653,0.3209149057940885,0.5664935178747312
11,SMORE_av,0.9275696816699852,0.3142272184588262,0.5605597367442886
11,SPRIS_av,0.8759622227062972,0.3111646901793257,0.5578213783814006
11,SMYTH_av,0.8885370436511006,0.5070062984005168,0.712043747532774
11,SPAIS_av,0.8559783160790799,0.5370588151911397,0.7328429676207173
11,SATIS_av,0.8739883446165735,0.3959079335869487,0.6292121530826854
12,SMORE_av,0.8951505003114456,0.37999439177681793,0.6164368514104408
12,SPRIS_av,0.879879787378543,0.3422241170206777,0.5849992453163317
12,SMYTH_av,0.91133712730408,0.4065883889457746,0.6376428380729878
12,SPAIS_av,0.8742081744438955,0.48966502508719584,0.6997606912989581
12,SATIS_av,0.8742489677701463,0.3220915652102237,0.5675311138697364
13,SMORE_av,0.885730777111285,0.41942437003188776,0.647629809406491
13,SPRIS_av,0.8284531449578916,0.3966002331030544,0.6297620448257059
13,SMYTH_av,0.8802641744160176,0.5112466976804262,0.7150151730421014
13,SPAIS_av,0.8841478660627181,0.42176598680101196,0.6494351290167572
13,SATIS_av,0.8945694227204477,0.2674493075519371,0.5171550130782231
14,SMORE_av,0.9073665307463269,0.38633920539090805,0.6215619079310669
14,SPRIS_av,0.8564436893396021,0.3071353592876713,0.5541979423343895
14,SMYTH_av,0.8549381903447726,0.5443444407312407,0.7377970186516347
14,SPAIS_av,0.8543084873005473,0.5070512508442954,0.7120753126210003
14,SATIS_av,0.8800018472688252,0.32134800550352877,0.566875652593696
15,SMORE_av,0.9207427027108752,0.331056110405263,0.5753747564894232
15,SPRIS_av,0.8459199064521346,0.3759851029414751,0.6131762413380635
15,SMYTH_av,0.9087209937116377,0.4179184556159851,0.6464661287461123
15,SPAIS_av,0.8465028129274746,0.599122071965377,0.7740297616793408
15,SATIS_av,0.8509678229350639,0.346688180237192,0.5888023269631261
16,SMORE_av,0.9031475994978301,0.3398763378447132,0.5829891404174808
16,SPRIS_av,0.9010585585411732,0.2392674005814708,0.4891496709407774
16,SMYTH_av,0.8839158057941063,0.48888966735060063,0.6992064554554689
16,SPAIS_av,0.8273691201067974,0.6145011425587052,0.7839012326554317
16,SATIS_av,0.8918481662742224,0.29080583611989397,0.5392641617240052
17,SMORE_av,0.8969270113281917,0.4296526068845515,0.6554789141418292
17,SPRIS_av,0.8565603330984627,0.3333580359433772,0.5773716618811294
17,SMYTH_av,0.893230854156501,0.4856491402717117,0.6968853135715458
17,SPAIS_av,0.8810738358889155,0.42998841120306336,0.655735015995839
17,SATIS_av,0.8532058981042198,0.38673491989385117,0.6218801491395679
18,SMORE_av,0.8885360056529592,0.44991802257948754,0.6707592881052692
18,SPRIS_av,0.8291898497100245,0.4203920373452826,0.6483764626706329
18,SMYTH_av,0.8713522407576804,0.5481078378034167,0.7403430541332962
18,SPAIS_av,0.8422753612762588,0.6203570968184854,0.7876275114662294
18,SATIS_av,0.8880258646544997,0.3056873836073446,0.5528900284933204
19,SMORE_av,0.9149970329204123,0.2940960611550968,0.5423062429615731
19,SPRIS_av,0.8809390343780811,0.3014088610145921,0.5490071593473004
19,SMYTH_av,0.8827556750046984,0.4753145381272633,0.6894305897820776
19,SPAIS_av,0.8367852896844932,0.5152549369907318,0.7178126057619298
19,SATIS_av,0.8812330373322658,0.2834545654970568,0.5324045130322026
20,SMORE_av,0.8875398890187091,0.3429096217337863,0.5855848544265693
20,SPRIS_av,0.865972783313218,0.3056523769681985,0.5528583697188626
20,SMYTH_av,0.9199341274159442,0.354544814605303,0.5954366587684227
20,SPAIS_av,0.8955798950139882,0.3909715618805637,0.6252771880378842
20,SATIS_av,0.8822080683215219,0.2466200859190063,0.4966085842179999
21,SMORE_av,0.9084209154998429,0.3675138261095526,0.6062291861248125
21,SPRIS_av,0.851252846870423,0.3708204090443733,0.6089502516990803
21,SMYTH_av,0.8936881501872393,0.5028939833762449,0.7091501839358465
21,SPAIS_av,0.8512608655934321,0.5176055771066608,0.7194481059163759
21,SATIS_av,0.8563108972833525,0.3199665029386749,0.5656558166753657
22,SMORE_av,0.9008752284915797,0.36485709324911886,0.60403401663244
22,SPRIS_av,0.8656972654985317,0.27121276591656085,0.5207809193092243
22,SMYTH_av,0.8945787082199212,0.42483356228585006,0.6517925761205401
22,SPAIS_av,0.894681856829556,0.3941108935357192,0.6277825208905702
22,SATIS_av,0.8540969419645226,0.2812349597896766,0.5303159056540513
23,SMORE_av,0.8865472714970927,0.4811495423638225,0.6936494376584057
23,SPRIS_av,0.8553249179060975,0.3102014157417855,0.5569572835880553
23,SMYTH_av,0.8978389667480382,0.47206701919287125,0.6870713348647804
23,SPAIS_av,0.8872017123640389,0.46512777752409734,0.6820027694401961
23,SATIS_av,0.8584186330600967,0.3647349508083961,0.6039329025714661
24,SMORE_av,0.892811454887092,0.40096786063974965,0.6332202307568431
24,SPRIS_av,0.8051367871091075,0.40363364488550035,0.6353216861445077
